sale_no,Address,CouncilArea,YearBuilt,BuildingArea,Car,Price,Date,Method,SellerG
2293,5 Tiuna Gr,Port Phillip,1915.0,207.0,6.0,3572000.0,12/11/2016,S,Marshall
2294,1/48 Ormond Rd,Port Phillip,2003.0,,2.0,1015000.0,13/08/2016,S,McGrath
2295,3/44 Scott St,Port Phillip,,,1.0,940000.0,14/05/2016,S,Chisholm
2296,1/125 Glen Huntly Rd,Port Phillip,1960.0,,1.0,630000.0,15/10/2016,S,Chisholm
2297,17 Addison St,Port Phillip,1910.0,,2.0,1700000.0,16/04/2016,S,Chisholm
2298,5/15 Dickens St,Port Phillip,1970.0,,1.0,686000.0,16/04/2016,S,hockingstuart
2299,2/21 Milton St,Port Phillip,1930.0,70.0,0.0,560000.0,16/04/2016,PI,Jellis
2300,4/41 Shelley St,Port Phillip,1940.0,88.0,0.0,765000.0,16/04/2016,S,Marshall
2301,3/145 Glen Huntly Rd,Port Phillip,1970.0,84.0,1.0,670000.0,16/07/2016,S,Buxton
2302,2 Docker St,Port Phillip,1950.0,133.0,1.0,1625000.0,17/09/2016,S,McGrath
2303,13/9 Milton St,Port Phillip,1923.0,104.0,1.0,1122000.0,17/09/2016,SP,Biggin
2304,3/61 Ormond Rd,Port Phillip,1960.0,,1.0,559000.0,17/09/2016,PI,Buxton
2305,9/2 Alfriston St,Port Phillip,1970.0,,1.0,369000.0,18/03/2017,S,hockingstuart
2306,5/282 Barkly St,Port Phillip,,,1.0,525500.0,18/03/2017,SP,Buxton
2307,6 Daley St,Port Phillip,1920.0,185.0,2.0,2400000.0,18/06/2016,PI,Marshall
2308,7/435 St Kilda St,Port Phillip,1965.0,70.0,1.0,655000.0,18/06/2016,PI,Biggin
2309,2/129 Brighton Rd,Port Phillip,1930.0,98.0,0.0,684000.0,19/11/2016,SP,McGrath
2310,4/25 Kingsley St,Port Phillip,1970.0,,1.0,451000.0,19/11/2016,S,Chisholm
2311,6/26 Ruskin St,Port Phillip,1970.0,63.0,1.0,500000.0,22/05/2016,VB,Wilson
2312,5/106 Addison St,Port Phillip,1930.0,67.0,1.0,680000.0,24/09/2016,SP,Chisholm
2313,5/9 Dickens St,Port Phillip,1960.0,75.0,1.0,600000.0,24/09/2016,S,hockingstuart
2314,7/76 Mitford St,Port Phillip,1960.0,51.0,1.0,370000.0,24/09/2016,PI,Hodges
2315,6/10 Vautier St,Port Phillip,,,1.0,612000.0,24/09/2016,S,Buxton
2316,288 Barkly St,Port Phillip,,,0.0,1561000.0,25/02/2017,S,McGrath
2317,3/211 Brighton Rd,Port Phillip,1960.0,47.0,1.0,390000.0,25/02/2017,VB,hockingstuart
2318,11/6 Byron St,Port Phillip,,,1.0,313000.0,25/02/2017,S,Chisholm
2319,8/68 Goldsmith St,Port Phillip,1935.0,70.0,1.0,630000.0,25/02/2017,PI,Hodges
2320,146 Ormond Rd,Port Phillip,,,1.0,1675000.0,25/02/2017,S,Pride
2321,1/40 Ormond Rd,Port Phillip,,,1.0,470000.0,25/02/2017,SP,hockingstuart
2322,2/4 Southey Ct,Port Phillip,1940.0,80.0,0.0,640000.0,25/02/2017,S,Gary
2323,201/115 Tennyson St,Port Phillip,2012.0,110.0,1.0,932000.0,25/02/2017,S,Gary
2324,7/9 Tiuna Gr,Port Phillip,1975.0,75.0,1.0,645000.0,25/02/2017,S,hockingstuart
2325,1/6 Wave St,Port Phillip,1970.0,37.0,1.0,347000.0,25/02/2017,S,Gary
2326,3/1 Garden Ct,Port Phillip,1930.0,83.0,1.0,875000.0,26/07/2016,SP,Chisholm
2327,7/25 Kingsley St,Port Phillip,1970.0,65.0,1.0,582500.0,26/07/2016,SP,Chisholm
2328,2/99 Spray St,Port Phillip,1940.0,50.0,1.0,570000.0,26/07/2016,S,McGrath
2329,53 Addison St,Port Phillip,2005.0,211.0,0.0,1875000.0,27/06/2016,VB,Chisholm
2330,11/16 Byron St,Port Phillip,,,1.0,326000.0,27/06/2016,VB,hockingstuart
2331,3/58 Byron St,Port Phillip,1970.0,42.0,1.0,340000.0,27/06/2016,SP,Buxton
2332,78 Dickens St,Port Phillip,1900.0,218.0,2.0,2200000.0,27/06/2016,PI,Wilson
2333,1/127 Glen Huntly Rd,Port Phillip,1930.0,69.0,1.0,687500.0,27/06/2016,S,Marshall
2334,7/5 Alfriston St,Port Phillip,1960.0,,1.0,680000.0,27/11/2016,PI,hockingstuart
2335,6/115 Brighton Rd,Port Phillip,1940.0,85.0,1.0,730000.0,27/11/2016,S,Chisholm
2336,10/229 Brighton Rd,Port Phillip,1930.0,47.0,0.0,526000.0,27/11/2016,S,Chisholm
2337,4/79 Mitford St,Port Phillip,2010.0,18.0,2.0,920000.0,27/11/2016,PI,McGrath
2338,32 Milton St,Port Phillip,1925.0,162.0,2.0,1830000.0,28/05/2016,S,Chisholm
2339,5/61 Ormond Rd,Port Phillip,1960.0,,1.0,572500.0,28/08/2016,PI,Kay
2340,40 Wave St,Port Phillip,1923.0,,1.0,1925000.0,28/08/2016,VB,Chisholm
2341,6 Buckley St,Moonee Valley,1950.0,147.0,2.0,1425000.0,3/09/2016,S,Jellis
2342,1/28 Gilbertson St,Moonee Valley,1980.0,113.0,1.0,660000.0,3/09/2016,S,Barry
2343,3/85 Tennyson St,Moonee Valley,1980.0,83.0,1.0,550000.0,3/09/2016,VB,Nelson
2344,33 Bradshaw St,Moonee Valley,,,1.0,980000.0,3/12/2016,VB,Barry
2345,16 Kendall St,Moonee Valley,1930.0,105.0,3.0,1295000.0,3/12/2016,PI,Nelson
2346,30 Robb St,Moonee Valley,,,2.0,1900000.0,3/12/2016,S,Nelson
2347,3/113 Tennyson St,Moonee Valley,1990.0,89.0,2.0,595000.0,3/12/2016,S,Frank
2348,2/96 Cooper St,Moonee Valley,2008.0,98.0,2.0,911000.0,4/02/2016,S,Rendina
2349,15 Albion St,Moonee Valley,1980.0,210.0,1.0,900000.0,4/03/2017,SP,Nelson
2350,1/9 Ardoch St,Moonee Valley,1980.0,76.0,1.0,645000.0,4/03/2017,S,Nelson
2351,26 Brewster St,Moonee Valley,,,4.0,1965000.0,4/03/2017,S,McDonald
2352,52a Deakin St,Moonee Valley,,,1.0,840000.0,4/03/2017,S,Nelson
2353,3/10 Kendall St,Moonee Valley,2008.0,77.0,1.0,702500.0,4/03/2017,S,Nelson
2354,76 Ogilvie St,Moonee Valley,1950.0,106.0,2.0,960000.0,4/03/2017,S,Brad
2355,32 Vanberg Rd,Moonee Valley,1920.0,183.0,1.0,1670000.0,4/03/2017,S,Nelson
2356,242 Buckley St,Moonee Valley,1890.0,257.0,1.0,1100000.0,4/06/2016,VB,Nelson
2357,55 Richardson St,Moonee Valley,1910.0,215.0,2.0,1800000.0,4/06/2016,S,Nelson
2358,33 Deakin St,Moonee Valley,2015.0,267.0,2.0,1250000.0,6/08/2016,PI,Frank
2359,17 Cooper St,Moonee Valley,,,1.0,1365000.0,7/05/2016,S,Nelson
2360,45 Ogilvie St,Moonee Valley,1950.0,100.0,1.0,1130000.0,7/05/2016,SP,Barry
2361,1/10 Loeman St,Moonee Valley,1975.0,55.0,3.0,370000.0,7/11/2016,PI,Hodges
2362,65 Napier St,Moonee Valley,1900.0,171.0,2.0,1467000.0,7/11/2016,S,Greg
2363,143 Ogilvie St,Moonee Valley,,,0.0,1315000.0,7/11/2016,S,Barry
2364,141 Rose St,Moonee Valley,,,1.0,2390000.0,7/11/2016,S,Barry
2365,4 Agatha St,Moonee Valley,,,2.0,1240000.0,8/10/2016,S,Nelson
2366,4/23 Fletcher St,Moonee Valley,,,0.0,456000.0,8/10/2016,S,Brad
2367,59 Hedderwick St,Moonee Valley,2005.0,378.0,6.0,2800000.0,8/10/2016,PI,Nelson
2368,3/25 Wright St,Moonee Valley,1975.0,,1.0,325000.0,8/10/2016,S,Brad
2369,6/4 Ballater St,Moonee Valley,1970.0,,1.0,521000.0,10/09/2016,S,Nelson
2370,1/14 Forrester St,Moonee Valley,,,1.0,645000.0,10/09/2016,S,Barry
2371,22 Nimmo St,Moonee Valley,2015.0,217.0,2.0,1160000.0,10/09/2016,S,Nelson
2372,2/4 Balmoral St,Moonee Valley,,,1.0,445000.0,10/12/2016,S,Nelson
2373,8 Monica St,Moonee Valley,1930.0,355.0,2.0,2620000.0,10/12/2016,S,Brad
2374,82 Price St,Moonee Valley,1955.0,125.0,3.0,1226000.0,10/12/2016,S,Nelson
2375,2/44 Richardson St,Moonee Valley,,,3.0,825000.0,10/12/2016,PI,Nelson
2376,26 Bradshaw St,Moonee Valley,1940.0,193.0,1.0,1402000.0,11/02/2017,S,Nelson
2377,1/155 Deakin St,Moonee Valley,2000.0,,2.0,897000.0,11/02/2017,S,Frank
2378,37 William St,Moonee Valley,,,1.0,1240000.0,11/03/2017,S,Frank
2379,141 Cooper St,Moonee Valley,,,2.0,1990000.0,12/06/2016,S,Barry
2380,62 Mary St,Moonee Valley,1950.0,116.0,2.0,855000.0,12/06/2016,S,Nelson
2381,1 McCarron Pde,Moonee Valley,,,2.0,1775000.0,12/06/2016,S,Nelson
2382,5/23 Daisy St,Moonee Valley,,,1.0,411000.0,12/11/2016,S,Nelson
2383,74 Forrester St,Moonee Valley,2008.0,160.0,2.0,1275000.0,12/11/2016,S,Brad
2384,40 Hoddle St,Moonee Valley,,,2.0,1800000.0,12/11/2016,PI,Jellis
2385,125a Ogilvie St,Moonee Valley,2007.0,272.0,1.0,1590000.0,12/11/2016,S,Nelson
2386,4/6 Riverview Rd,Moonee Valley,1972.0,93.0,2.0,606000.0,12/11/2016,S,McDonald
2387,18 Vanberg Rd,Moonee Valley,1930.0,137.0,1.0,1385000.0,12/11/2016,S,McDonald
2388,159 Cooper St,Moonee Valley,1985.0,129.0,1.0,650000.0,13/08/2016,S,Barry
2389,5/322 Buckley St,Moonee Valley,1960.0,72.0,1.0,460000.0,14/05/2016,S,Nelson
2390,54 Ogilvie St,Moonee Valley,2013.0,224.0,1.0,1000000.0,14/05/2016,VB,Brad
2391,38 Vanberg Rd,Moonee Valley,,,1.0,980000.0,14/05/2016,S,Nelson
2392,2/16 Braemar St,Moonee Valley,1975.0,73.0,2.0,520000.0,15/10/2016,VB,Barry
2393,3/134 Cooper St,Moonee Valley,,,1.0,585000.0,15/10/2016,VB,Nelson
2394,90 Cooper St,Moonee Valley,,,2.0,1295000.0,15/10/2016,S,Nelson
2395,124c Hoffmans Rd,Moonee Valley,1999.0,142.0,2.0,720000.0,15/10/2016,S,Frank
2396,2/57 Lincoln Rd,Moonee Valley,,,1.0,732500.0,15/10/2016,S,Nelson
2397,33 McCarron Pde,Moonee Valley,1900.0,227.0,2.0,1635000.0,15/10/2016,VB,Nelson
2398,13/947 Mt Alexander Rd,Moonee Valley,2010.0,73.0,1.0,485000.0,15/10/2016,SP,Pagan
2399,108 Ogilvie St,Moonee Valley,,,3.0,980000.0,15/10/2016,S,Brad
2400,1/48 Spencer St,Moonee Valley,,,2.0,840000.0,15/10/2016,S,Nelson
2401,130 Tennyson St,Moonee Valley,1915.0,,2.0,1001000.0,15/10/2016,S,Jellis
2402,26a Violet St,Moonee Valley,,,1.0,891000.0,15/10/2016,S,Brad
2403,9a Ballater St,Moonee Valley,,,2.0,800000.0,16/04/2016,S,Paul
2404,2 Cooke St,Moonee Valley,1988.0,454.0,2.0,1575000.0,16/04/2016,PI,Brad
2405,9/160 Napier St,Moonee Valley,1960.0,49.0,1.0,280000.0,16/04/2016,SP,Pagan
2406,211 Napier St,Moonee Valley,1920.0,145.0,1.0,1467000.0,16/04/2016,S,Brad
2407,11 Raleigh St,Moonee Valley,,,0.0,770000.0,16/04/2016,S,Brad
2408,15/18 Raleigh St,Moonee Valley,,,1.0,446000.0,16/04/2016,S,Nelson
2409,20 Warner St,Moonee Valley,1950.0,108.0,1.0,890000.0,16/04/2016,PI,Nelson
2410,11 McPhail St,Moonee Valley,1920.0,120.0,2.0,870000.0,16/07/2016,PI,Nelson
2411,105 Ogilvie St,Moonee Valley,,,2.0,1500000.0,16/07/2016,S,Nelson
2412,151 Ogilvie St,Moonee Valley,,,2.0,1266000.0,16/07/2016,S,Brad
2413,49 Albion St,Moonee Valley,1950.0,114.0,1.0,1134000.0,17/09/2016,S,Barry
2414,5 Ballater St,Moonee Valley,,,5.0,1756000.0,17/09/2016,S,Frank
2415,3/23 Daisy St,Moonee Valley,1970.0,52.0,1.0,320500.0,17/09/2016,S,Nelson
2416,3/82 Glass St,Moonee Valley,1994.0,,1.0,650000.0,17/09/2016,S,Nelson
2417,2 McHale Ct,Moonee Valley,1960.0,143.0,2.0,1065000.0,17/09/2016,VB,Nelson
2418,1/139 Roberts St,Moonee Valley,,,1.0,667000.0,17/09/2016,S,Nelson
2419,37 Woodland St,Moonee Valley,2010.0,250.0,2.0,1610000.0,17/09/2016,S,Hodges
2420,131 Bradshaw St,Moonee Valley,,,3.0,1695000.0,18/03/2017,S,Nelson
2421,24A Daisy St,Moonee Valley,1990.0,107.0,2.0,930000.0,18/03/2017,S,Barry
2422,18 Hoddle St,Moonee Valley,,,1.0,1870000.0,18/03/2017,S,Nelson
2423,5/36 King St,Moonee Valley,1975.0,68.0,1.0,395000.0,18/03/2017,SP,Jellis
2424,79 Lincoln Rd,Moonee Valley,,,2.0,1726000.0,18/03/2017,S,Nelson
2425,53A Market St,Moonee Valley,,,1.0,1050000.0,18/03/2017,S,Nelson
2426,101 McCracken St,Moonee Valley,2016.0,120.0,1.0,1470000.0,18/03/2017,S,Nelson
2427,2/161 Ogilvie St,Moonee Valley,,,1.0,801500.0,18/03/2017,S,Barry
2428,1/13 Winifred St,Moonee Valley,2011.0,,1.0,480000.0,18/03/2017,VB,McDonald
2429,59 Brewster St,Moonee Valley,1910.0,,2.0,1475000.0,18/06/2016,PI,Paul
2430,1/247 Keilor Rd,Moonee Valley,1997.0,145.0,1.0,750000.0,18/06/2016,VB,Brad
2431,3/7 Violet St,Moonee Valley,1970.0,66.0,1.0,390000.0,18/06/2016,VB,Nelson
2432,4/10 Ardoch St,Moonee Valley,,,1.0,453000.0,19/11/2016,S,Nelson
2433,1/16 Leake St,Moonee Valley,2013.0,180.0,2.0,1170000.0,19/11/2016,SP,Barry
2434,55 Lincoln Rd,Moonee Valley,1930.0,218.0,1.0,1600000.0,19/11/2016,SP,Brad
2435,33 McCarron Pde,Moonee Valley,1900.0,227.0,2.0,1535000.0,19/11/2016,SP,Nelson
2436,22 Wheeler Pl,Moonee Valley,,,2.0,1400000.0,19/11/2016,SP,Nelson
2437,4/20 William St,Moonee Valley,1970.0,66.0,1.0,435000.0,19/11/2016,S,Nelson
2438,7/18 Raleigh St,Moonee Valley,,,1.0,457000.0,22/08/2016,S,Barry
2439,22 Tweedside St,Moonee Valley,1920.0,138.0,1.0,1460000.0,22/08/2016,S,Paul
2440,1/15 Gilbertson St,Moonee Valley,1940.0,106.0,1.0,736000.0,23/04/2016,S,Nelson
2441,3/136 Hoffmans Rd,Moonee Valley,1970.0,,1.0,405000.0,24/09/2016,S,Nelson
2442,5/12 Schofield St,Moonee Valley,1970.0,65.0,1.0,450000.0,24/09/2016,SP,Brad
2443,1/35 William St,Moonee Valley,1988.0,104.0,1.0,740000.0,24/09/2016,S,Nelson
2444,1/19 Cameron Rd,Moonee Valley,1995.0,80.0,1.0,691000.0,25/02/2017,SP,Brad
2445,8/19 Fletcher St,Moonee Valley,,,0.0,370000.0,25/02/2017,VB,Rendina
2446,18 Lorraine St,Moonee Valley,1920.0,273.0,3.0,2355000.0,25/02/2017,S,McDonald
2447,23 MacKay St,Moonee Valley,,,1.0,1255000.0,25/02/2017,S,Brad
2448,154 Spencer St,Moonee Valley,1950.0,,2.0,1560000.0,25/02/2017,S,Barry
2449,8 Buckley St,Moonee Valley,,,4.0,1330000.0,26/07/2016,S,Barry
2450,31 Graves St,Moonee Valley,1938.0,165.0,1.0,1625000.0,26/07/2016,S,Nelson
2451,7 Hilda St,Moonee Valley,1900.0,145.0,0.0,1150000.0,26/07/2016,S,Paul
2452,47 Hoddle St,Moonee Valley,,,1.0,1085000.0,27/06/2016,S,Barry
2453,9 Mountain St,Moonee Valley,,,2.0,1800000.0,27/06/2016,VB,Joe
2454,8/30 Nicholson St,Moonee Valley,1970.0,68.0,1.0,360000.0,27/06/2016,VB,Nelson
2455,2/67 Nimmo St,Moonee Valley,1994.0,88.0,1.0,645000.0,27/06/2016,SP,Nelson
2456,8/15 Shaftesbury St,Moonee Valley,1970.0,125.0,1.0,250000.0,27/06/2016,VB,Brad
2457,16 Cliff St,Moonee Valley,,,2.0,1630000.0,27/11/2016,S,Nelson
2458,10 Deakin St,Moonee Valley,,,1.0,850000.0,27/11/2016,PI,Hodges
2459,2/7 Graves St,Moonee Valley,1970.0,135.0,1.0,872000.0,27/11/2016,S,Nelson
2460,71A Price St,Moonee Valley,,,2.0,935000.0,27/11/2016,PI,Alexkarbon
2461,1/1 Thomson St,Moonee Valley,1975.0,83.0,1.0,630000.0,27/11/2016,S,Nelson
2462,5/8 Violet St,Moonee Valley,1970.0,77.0,1.0,440000.0,27/11/2016,S,Brad
2463,18 Washington St,Moonee Valley,1930.0,284.0,2.0,1811000.0,27/11/2016,S,Nelson
2464,31 Elder Pde,Moonee Valley,1930.0,190.0,3.0,1500000.0,28/05/2016,PI,Red
2465,5 Raleigh St,Moonee Valley,,,2.0,1290000.0,28/05/2016,S,Nelson
2466,15 Wright St,Moonee Valley,,,1.0,1045000.0,28/05/2016,S,Nelson
2467,38 Alfred Rd,Moonee Valley,1960.0,132.0,1.0,1290000.0,28/08/2016,S,Nelson
2468,95 Bradshaw St,Moonee Valley,,,1.0,953000.0,28/08/2016,S,Nelson
2469,118 Buckley St,Moonee Valley,1915.0,700.0,2.0,1100000.0,28/08/2016,PI,Raine
2470,1/52 Elder Pde,Moonee Valley,,,1.0,820000.0,28/08/2016,S,Nelson
2471,5 Loeman St,Moonee Valley,1996.0,266.0,2.0,1270000.0,28/08/2016,PI,Nelson
2472,21 Miller St,Moonee Valley,1910.0,168.0,1.0,1445000.0,28/08/2016,S,Nelson
2473,33 Ogilvie St,Moonee Valley,1950.0,127.0,2.0,1113000.0,28/08/2016,S,Brad
2474,4/11 Spencer St,Moonee Valley,1960.0,59.0,1.0,370000.0,28/08/2016,VB,Barry
2475,1 Braemar St,Moonee Valley,,,2.0,1505000.0,30/07/2016,S,Jellis
2476,6/7 Schofield St,Moonee Valley,1970.0,,1.0,590000.0,30/07/2016,S,Brad
2477,2/17 Bulla Rd,Moonee Valley,1975.0,56.0,1.0,396000.0,3/09/2016,S,Barry
2478,3 Oshannassy St,Moonee Valley,,,2.0,1580000.0,4/06/2016,S,Barry
2479,2/10 Oshannassy St,Moonee Valley,1970.0,,1.0,393000.0,6/08/2016,S,Brad
2480,4/17 Bulla Rd,Moonee Valley,,,1.0,260000.0,10/09/2016,S,Brad
2481,11 Duffy St,Moonee Valley,,,1.0,1320000.0,14/05/2016,S,Brad
2482,4/8 Keam St,Moonee Valley,1960.0,59.0,1.0,450000.0,14/05/2016,SP,Barry
2483,64 Kerferd St,Moonee Valley,1930.0,196.0,2.0,1360000.0,18/03/2017,S,Nelson
2484,1/48 Keilor Rd,Moonee Valley,1960.0,65.0,1.0,340000.0,18/06/2016,SP,Nelson
2485,2/31 Greville St,Moonee Valley,2002.0,134.0,1.0,765000.0,19/11/2016,S,Nelson
2486,21 Greville St,Moonee Valley,1940.0,,2.0,1605000.0,22/08/2016,S,Barry
2487,2/26 Renown St,Moonee Valley,2009.0,104.0,2.0,712000.0,22/08/2016,S,Nelson
2488,1 Dudley St,Moonee Valley,,,2.0,1425000.0,25/02/2017,S,McGrath
2489,150 Gillies St,Darebin,1910.0,144.0,0.0,1250000.0,3/09/2016,VB,Jellis
2490,7 Rathmines St,Darebin,2000.0,110.0,2.0,1350000.0,3/12/2016,PI,McGrath
2491,197 Wingrove St,Darebin,,,2.0,1125000.0,4/06/2016,S,Jellis
2492,192 Gillies St,Darebin,1900.0,,1.0,1064000.0,6/08/2016,S,Jellis
2493,229 Rathmines St,Darebin,1950.0,92.0,2.0,1220000.0,7/05/2016,S,Jellis
2494,197 Station St,Darebin,1890.0,145.0,1.0,1160000.0,7/05/2016,PI,Nelson
2495,2/115 Gillies St,Darebin,1970.0,70.0,1.0,505000.0,7/11/2016,PI,Nelson
2496,20/262 Heidelberg Rd,Yarra,2013.0,77.0,1.0,602000.0,7/11/2016,S,Jellis
2497,3/260 Rathmines St,Darebin,1990.0,107.0,1.0,846000.0,8/10/2016,SP,Love
2498,7/223 Station St,Darebin,1970.0,68.0,1.0,400000.0,10/09/2016,VB,Nelson
2499,2/152 Gillies St,Darebin,,,1.0,610000.0,10/12/2016,S,Thomas
2500,7/59 Rathmines St,Darebin,1970.0,56.0,1.0,445000.0,10/12/2016,S,Nelson
2501,3/18 Gillies St,Darebin,1985.0,,1.0,730000.0,11/02/2017,S,Jellis
2502,88 Perry St,Darebin,2007.0,226.0,2.0,1730000.0,15/10/2016,S,Jellis
2503,4/28 Rushall St,Darebin,,,1.0,438000.0,15/10/2016,S,Harcourts
2504,125 Grange Rd,Darebin,,,1.0,1700000.0,18/03/2017,PI,Jellis
2505,1/72 Rathmines St,Darebin,1970.0,68.0,1.0,510000.0,18/03/2017,S,hockingstuart
2506,4/10 Station St,Yarra,,,1.0,300000.0,18/03/2017,VB,Raine
2507,139 Christmas St,Darebin,,,1.0,750000.0,18/06/2016,VB,Barry
2508,45 McGregor St,Darebin,1950.0,,4.0,2350000.0,18/06/2016,PI,Collins
2509,52 Rayment St,Darebin,1930.0,109.0,4.0,1350000.0,19/11/2016,VB,Nelson
2510,254 Rathmines St,Darebin,2015.0,280.0,2.0,2000000.0,22/05/2016,VB,Nelson
2511,100 Perry St,Darebin,,,1.0,1010000.0,22/08/2016,S,Nelson
2512,231 Station St,Darebin,1930.0,,2.0,1065000.0,23/04/2016,S,Nelson
2513,4/224 Arthur St,Darebin,2008.0,2.0,1.0,805000.0,24/09/2016,S,McGrath
2514,225 Gillies St,Darebin,1950.0,140.0,2.0,1055000.0,27/06/2016,S,Collins
2515,15/262 Heidelberg Rd,Yarra,2014.0,68.0,1.0,548000.0,27/06/2016,SP,Nelson
2516,189 Rathmines St,Darebin,1910.0,126.0,1.0,1500000.0,27/11/2016,S,McGrath
2517,1/203 Station St,Darebin,1970.0,75.0,2.0,600000.0,27/11/2016,VB,Jellis
2518,48 Gordon St,Darebin,,,1.0,1510000.0,28/05/2016,S,Jellis
2519,1/240 Arthur St,Darebin,2002.0,77.0,1.0,545000.0,28/08/2016,SP,McGrath
2520,250 Arthur St,Darebin,,,3.0,1145000.0,28/08/2016,S,McGrath
2521,147 Gillies St,Darebin,1910.0,122.0,1.0,1375000.0,28/08/2016,S,McGrath
2522,111 Cecil St,Yarra,,,0.0,1000000.0,3/09/2016,S,Nelson
2523,3/18 Hanover St,Yarra,2004.0,137.0,2.0,1252000.0,3/09/2016,S,Nelson
2524,4/113 Cecil St,Yarra,1965.0,71.0,2.0,810000.0,6/08/2016,S,Jellis
2525,502/69 Victoria St,Yarra,,,1.0,692000.0,7/05/2016,S,Nelson
2526,127 George St,Yarra,1902.0,,1.0,1780000.0,7/11/2016,S,Peter
2527,199 Moor St,Yarra,1980.0,66.0,0.0,947500.0,7/11/2016,S,Nelson
2528,291 George St,Yarra,1890.0,105.0,0.0,1460000.0,12/11/2016,PI,Nelson
2529,1/59 Leicester St,Yarra,,,2.0,1520000.0,12/11/2016,S,Jellis
2530,7/56 Leicester St,Yarra,2000.0,105.0,2.0,880000.0,13/08/2016,S,Nelson
2531,52 Nicholson St,Yarra,1854.0,291.0,2.0,3310000.0,13/08/2016,S,Caine
2532,124 Westgarth St,Yarra,1900.0,,1.0,1481000.0,13/08/2016,S,Jellis
2533,258 Napier St,Yarra,,,1.0,2200000.0,16/04/2016,VB,Nelson
2534,431 George St,Yarra,1890.0,105.0,1.0,1250000.0,17/09/2016,PI,Nelson
2535,190 Gore St,Yarra,,,0.0,1440000.0,17/09/2016,S,Nelson
2536,20 Westgarth St,Yarra,,,0.0,1315000.0,18/03/2017,S,Jellis
2537,31 Bell St,Yarra,1890.0,152.0,0.0,1950000.0,18/06/2016,S,Nelson
2538,5/113 Cecil St,Yarra,2000.0,,1.0,597000.0,18/06/2016,S,Harrington
2539,24/26 Victoria St,Yarra,,,1.0,650000.0,18/06/2016,S,Nelson
2540,113/300 Young St,Yarra,2011.0,52.0,1.0,465000.0,19/11/2016,SP,Jellis
2541,60 Bell St,Yarra,1880.0,165.0,1.0,1620000.0,22/05/2016,S,Nelson
2542,47 Charles St,Yarra,,,1.0,1600000.0,22/05/2016,S,Nelson
2543,10/5 St David St,Yarra,2000.0,115.0,1.0,850000.0,22/05/2016,VB,Nelson
2544,309/416 Gore St,Yarra,,,1.0,790000.0,22/08/2016,S,Nelson
2545,84 Kerr St,Yarra,1890.0,101.0,0.0,1122000.0,22/08/2016,S,Nelson
2546,306/96 charles St,Yarra,,,0.0,660000.0,23/04/2016,SP,hockingstuart
2547,107 Cecil St,Yarra,1900.0,110.0,1.0,1300000.0,24/09/2016,S,Nelson
2548,8/98 George St,Yarra,1975.0,42.0,1.0,420000.0,25/02/2017,S,Caine
2549,101/416 Gore St,Yarra,1900.0,74.0,1.0,715000.0,26/07/2016,S,Nelson
2550,206/424 Gore St,Yarra,,62.0,1.0,458000.0,27/06/2016,S,hockingstuart
2551,116 Leicester St,Yarra,1995.0,138.0,1.0,800000.0,27/06/2016,VB,Harrington
2552,9/56 Leicester St,Yarra,2002.0,90.0,1.0,710000.0,27/06/2016,S,Jellis
2553,6/226 Moor St,Yarra,2007.0,70.0,1.0,630000.0,27/06/2016,VB,hockingstuart
2554,17 Bell St,Yarra,1890.0,275.0,2.0,4011000.0,27/11/2016,S,Nelson
2555,11 Henry St,Yarra,1850.0,,0.0,677000.0,27/11/2016,S,Chambers
2556,233/4 Bik La,Yarra,2010.0,85.0,1.0,700000.0,3/09/2016,SP,Woodards
2557,470 Brunswick St,Yarra,1880.0,70.0,0.0,860000.0,3/09/2016,S,Woodards
2558,50 Freeman St,Yarra,1910.0,64.0,0.0,870000.0,3/09/2016,S,Nelson
2559,76 Newry St,Yarra,,,0.0,1116000.0,3/09/2016,S,Nelson
2560,2 Pilkington St,Yarra,1950.0,175.0,1.0,1450000.0,3/09/2016,VB,Nelson
2561,186 Queens Pde,Yarra,,3558.0,0.0,930000.0,3/09/2016,S,Nelson
2562,129/4 Bik La,Yarra,2011.0,,2.0,700000.0,4/03/2017,SP,Collins
2563,276 McKean St,Yarra,,,1.0,2170000.0,4/03/2017,S,Nelson
2564,7/14 Rae St,Yarra,1975.0,40.0,1.0,358500.0,4/03/2017,SP,Jellis
2565,24 Taylor St,Yarra,,,0.0,1000000.0,4/03/2017,VB,Nelson
2566,51 Rae St,Yarra,1905.0,151.0,1.0,770000.0,4/06/2016,SA,Nicholson
2567,92 Scotchmer St,Yarra,1890.0,77.0,1.0,1008000.0,6/08/2016,S,LITTLE
2568,5/35 Jamieson St,Yarra,2000.0,145.0,1.0,1015000.0,8/10/2016,S,Collins
2569,780 Brunswick St,Yarra,1900.0,128.0,1.0,1371000.0,10/09/2016,S,Nelson
2570,1/180 Queens Pde,Yarra,,,1.0,1054000.0,10/09/2016,S,Chambers
2571,24 Apperley St,Yarra,,,0.0,1055000.0,10/12/2016,S,Harrington
2572,605/4 Bik La,Yarra,2011.0,,1.0,720000.0,10/12/2016,S,Woodards
2573,201A Clauscen St,Yarra,1915.0,116.0,0.0,1286000.0,10/12/2016,S,Holland
2574,11 Freeman St,Yarra,1900.0,,0.0,1655000.0,10/12/2016,S,Nelson
2575,373 Rae St,Yarra,,,1.0,1181000.0,10/12/2016,S,Nelson
