sale_no,Address,CouncilArea,Car,Price,Date,Method,SellerG,Suburb,Regionname,Postcode,Propertycount,Lattitude,Longtitude,Distance,Type,Rooms,Bedroom2,Bathroom,Landsize,YearBuilt,BuildingArea
2596,273 Glenlyon Rd,Moreland,2,1222500.0,19/11/2016,S,Chambers,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7737,144.9822,3.5,h,2,2,1,487.0,1940,105.0
2599,21 Reid St,Yarra,0,899000.0,22/05/2016,S,Jellis,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7851,144.9784,3.5,h,1,2,1,153.0,1945,200.0
2599,21 Reid St,Yarra,0,899000.0,22/05/2016,S,Jellis,Murrumbeena,Southern Metropolitan,3163.0,4442,-37.90584000000001,145.0725,10.1,h,3,3,1,586.0,1945,200.0
2601,181 Rae St,Yarra,0,937500.0,23/04/2016,S,Jellis,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.788,144.9791,3.5,h,2,2,1,100.0,1890,72.0
2604,191 Scotchmer St,Yarra,1,1300000.0,26/07/2016,VB,Nelson,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7834,144.9862,3.5,h,3,3,1,203.0,1890,110.0
2607,717 Brunswick St,Yarra,0,1300000.0,27/11/2016,S,Collins,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7851,144.9809,3.5,h,3,3,2,127.0,1890,135.0
2609,205 Scotchmer St,Yarra,0,2150000.0,27/11/2016,S,Nelson,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7835,144.9867,3.5,h,3,3,2,202.0,1898,307.0
2611,168 Scotchmer St,Yarra,0,1581000.0,28/05/2016,S,Jellis,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7836,144.985,3.5,h,3,3,1,193.0,1910,132.0
2612,12/262 Barkly St,Yarra,1,602000.0,28/08/2016,S,Nelson,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7794,144.989,3.5,u,2,2,1,0.0,1980,48.0
2613,5/118 Miller St,Yarra,1,650000.0,28/08/2016,PI,Nelson,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.777,144.9838,3.5,h,2,2,1,0.0,1980,75.0
2615,55 Seacombe St,Yarra,1,1450000.0,28/08/2016,S,Nelson,Fitzroy North,Northern Metropolitan,3068.0,6244,-37.7839,144.9807,3.5,h,3,3,2,118.0,1905,103.0
2618,3/39 Dover St,Moonee Valley,1,365000.0,3/12/2016,PI,Rendina,Flemington,Northern Metropolitan,3031.0,3593,-37.7833,144.9255,4.4,u,2,2,1,0.0,1970,60.0
2620,8/39 Dover St,Moonee Valley,1,425000.0,4/03/2017,SP,Hodges,Flemington,Northern Metropolitan,3031.0,3593,-37.7833,144.9255,4.4,u,2,2,1,0.0,1970,63.0
2623,1/15 Dartford St,Moonee Valley,1,391000.0,8/10/2016,S,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7825,144.9239,4.4,u,2,2,1,0.0,1970,59.0
2625,11 Finsbury St,Moonee Valley,0,1130000.0,8/10/2016,S,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7856,144.9292,4.4,h,3,3,1,294.0,1900,140.0
2626,43 Finsbury St,Moonee Valley,1,1110000.0,8/10/2016,PI,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7857,144.931,4.4,h,3,3,1,272.0,1885,131.0
2628,107 Shields St,Moonee Valley,0,918000.0,10/09/2016,S,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7839,144.9343,4.4,h,2,2,1,136.0,1900,78.0
2629,59 Victoria St,Moonee Valley,1,730000.0,10/09/2016,SP,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7867,144.9342,4.4,h,2,2,1,140.0,1890,98.0
2631,21 Wisewould St,Moonee Valley,0,855000.0,10/12/2016,SP,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7849,144.9197,4.4,h,2,2,1,225.0,1930,85.0
2633,61 Canterbury St,Moonee Valley,1,1012000.0,13/08/2016,S,Australian,Flemington,Northern Metropolitan,3031.0,3593,-37.7818,144.9247,4.4,h,3,3,1,212.0,1930,102.0
2638,3/39 Dover St,Moonee Valley,1,395000.0,15/10/2016,PI,Rendina,Flemington,Northern Metropolitan,3031.0,3593,-37.7833,144.9255,4.4,u,2,2,1,0.0,1970,60.0
2641,12/132 Princes St,Moonee Valley,1,556000.0,16/07/2016,S,Woodards,Flemington,Northern Metropolitan,3031.0,3593,-37.784,144.9356,4.4,u,2,2,2,0.0,2009,79.0
2643,5/60 Farnham St,Moonee Valley,1,345000.0,18/06/2016,SP,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7826,144.9311,4.4,u,1,1,1,0.0,1970,46.0
2644,29 Finsbury St,Moonee Valley,0,1100000.0,18/06/2016,VB,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7857,144.9305,4.4,h,3,3,2,179.0,1900,150.0
2647,65 Victoria St,Moonee Valley,0,850000.0,24/09/2016,VB,Jellis,Coburg,Northern Metropolitan,3058.0,11204,-37.7424,144.9576,7.8,h,2,2,1,275.0,1905,106.2
2647,65 Victoria St,Moonee Valley,0,850000.0,24/09/2016,VB,Jellis,Flemington,Northern Metropolitan,3031.0,3593,-37.7866,144.9343,4.4,h,3,4,2,162.0,1905,106.2
2648,8/300 Racecourse Rd,Moonee Valley,1,395000.0,25/02/2017,SP,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.788,144.9306,4.4,u,1,1,1,818.0,1880,50.0
2650,4 Farnham St,Moonee Valley,1,1115000.0,27/11/2016,S,Nelson,Flemington,Northern Metropolitan,3031.0,3593,-37.7823,144.9278,4.4,h,3,3,1,244.0,1940,84.0
2651,5/121 Wellington St,Moonee Valley,1,420500.0,28/05/2016,S,Jellis,Flemington,Northern Metropolitan,3031.0,3593,-37.783,144.93200000000004,4.4,u,2,2,1,0.0,1970,52.0
2654,4 Adelaide St,Maribyrnong,1,1225000.0,3/12/2016,SP,Nelson,Footscray,Western Metropolitan,3011.0,7570,-37.7943,144.8875,6.4,h,4,4,2,319.0,1915,130.0
2656,9 Lynch St,Maribyrnong,1,1003000.0,3/12/2016,S,Naison,Footscray,Western Metropolitan,3011.0,7570,-37.797,144.9051,6.4,h,3,3,1,292.0,1900,98.0
2657,25 Southampton St,Maribyrnong,0,840000.0,3/12/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7959,144.8863,6.4,h,3,3,1,164.0,1900,93.0
2658,37 Stirling St,Maribyrnong,0,1362000.0,3/12/2016,S,Village,Footscray,Western Metropolitan,3011.0,7570,-37.7958,144.9024,6.4,h,3,3,2,497.0,1890,156.0
2659,58 Wolverhampton St,Maribyrnong,1,977000.0,3/12/2016,S,Village,Footscray,Western Metropolitan,3011.0,7570,-37.7983,144.8911,6.4,h,4,4,2,154.0,2007,161.0
2660,2/3 Eldridge St,Maribyrnong,1,216000.0,4/02/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7907,144.8924,6.4,u,1,1,1,0.0,1970,50.0
2661,8 Buckingham St,Maribyrnong,2,876000.0,4/03/2017,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.8012,144.8921,6.4,h,3,3,2,204.0,1990,106.0
2662,1/3 Eldridge St,Maribyrnong,1,227000.0,4/03/2017,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7907,144.8924,6.4,u,1,1,1,0.0,1970,52.0
2663,1/15 Geelong Rd,Maribyrnong,2,841000.0,4/03/2017,S,Jellis,Footscray,Western Metropolitan,3011.0,7570,-37.7959,144.8989,6.4,t,4,4,2,250.0,2000,160.0
2664,9/55 Moreland St,Maribyrnong,3,605000.0,4/03/2017,SP,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.8044,144.9064,6.4,u,2,2,1,2794.0,2000,87.0
2665,1/30 Pickett St,Maribyrnong,1,305000.0,4/03/2017,PI,Burnham,Footscray,Western Metropolitan,3011.0,7570,-37.8014,144.8959,6.4,u,2,2,1,47.0,2013,35.0
2666,5/28 Eleanor St,Maribyrnong,1,480000.0,6/08/2016,PI,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7919,144.8854,6.4,t,2,2,1,556.0,2010,75.0
2668,8 McCubbin St,Maribyrnong,1,910000.0,6/08/2016,S,Village,Footscray,Western Metropolitan,3011.0,7570,-37.7913,144.8879,6.4,h,3,3,1,361.0,1940,118.0
2669,6/114 Commercial Rd,Maribyrnong,1,291000.0,7/05/2016,PI,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7978,144.8918,6.4,u,1,1,1,665.0,1970,46.0
2671,8 Jerrold St,Maribyrnong,0,752000.0,7/05/2016,SP,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7922,144.891,6.4,h,2,2,1,215.0,1910,98.0
2672,32 Commercial Rd,Maribyrnong,3,1155000.0,7/11/2016,S,Burnham,Footscray,Western Metropolitan,3011.0,7570,-37.7941,144.8924,6.4,h,3,3,1,585.0,1950,120.0
2675,1/13 Essex St,Maribyrnong,1,853000.0,8/10/2016,S,Village,Footscray,Western Metropolitan,3011.0,7570,-37.7962,144.8851,6.4,h,3,3,1,0.0,2010,141.0
2677,6/11 Nicholson St,Maribyrnong,1,480000.0,8/10/2016,S,Nelson,Footscray,Western Metropolitan,3011.0,7570,-37.7949,144.9007,6.4,u,3,3,1,0.0,1985,90.0
2678,3 Park St,Maribyrnong,2,775000.0,8/10/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7901,144.8883,6.4,h,4,2,1,277.0,1890,87.0
2680,8/19 Empire St,Maribyrnong,1,281000.0,10/12/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7891,144.8912,6.4,u,2,2,1,0.0,1980,65.0
2681,1 Stanlake St,Maribyrnong,3,1300000.0,10/12/2016,S,hockingstuart,Footscray,Western Metropolitan,3011.0,7570,-37.7923,144.8848,6.4,h,4,4,2,0.0,1950,190.0
2682,2/10 Swan St,Maribyrnong,2,714000.0,10/12/2016,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7948,144.8868,6.4,t,3,3,2,164.0,2008,3.0
2684,211A Ballarat Rd,Maribyrnong,2,950000.0,11/02/2017,PI,Burnham,Footscray,Western Metropolitan,3011.0,7570,-37.7909,144.8884,6.4,h,2,2,1,657.0,1940,92.0
2686,120 MacPherson St,Maribyrnong,1,760000.0,12/06/2016,S,Biggin,Footscray,Western Metropolitan,3011.0,7570,-37.7975,144.8894,6.4,h,3,3,1,265.0,1910,115.0
2687,3/53 Whitehall St,Maribyrnong,1,420000.0,12/06/2016,VB,Village,Footscray,Western Metropolitan,3011.0,7570,-37.8042,144.9049,6.4,u,2,2,1,0.0,2010,75.0
2691,36 Windsor St,Maribyrnong,1,932000.0,13/08/2016,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.8023,144.8915,6.4,h,3,2,1,451.0,1910,130.0
2692,95 Gordon St,Maribyrnong,2,780000.0,14/05/2016,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7935,144.8893,6.4,h,3,3,1,323.0,1900,129.0
2693,4/5 Empire St,Maribyrnong,1,295000.0,15/10/2016,SP,Gunn&Co,Footscray,Western Metropolitan,3011.0,7570,-37.7903,144.891,6.4,u,2,2,1,0.0,1960,69.0
2694,3/23 Pickett St,Maribyrnong,1,433000.0,15/10/2016,SP,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.8017,144.8957,6.4,u,2,2,1,0.0,2012,66.0
2695,9/6 Rosamond Rd,Maribyrnong,1,410000.0,15/10/2016,SP,Rendina,Footscray,Western Metropolitan,3011.0,7570,-37.7881,144.8838,6.4,t,2,2,2,65.0,2014,80.0
2696,53 Ryan St,Maribyrnong,1,1170000.0,15/10/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7988,144.90200000000004,6.4,h,2,2,1,184.0,1900,103.0
2697,105/72 Cross St,Maribyrnong,1,375000.0,16/04/2016,S,Biggin,Footscray,Western Metropolitan,3011.0,7570,-37.8006,144.881,6.4,u,1,1,1,0.0,1920,50.0
2699,2 Buckingham St,Maribyrnong,1,747000.0,16/07/2016,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.8012,144.8924,6.4,h,3,3,1,246.0,1940,120.0
2702,88 Eleanor St,Maribyrnong,1,775000.0,16/07/2016,SP,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7956,144.8848,6.4,h,3,3,1,242.0,1920,99.0
2703,13/41 Moreland St,Maribyrnong,1,571000.0,16/07/2016,S,hockingstuart,Footscray,Western Metropolitan,3011.0,7570,-37.8025,144.9073,6.4,u,2,2,2,0.0,2013,78.0
2705,8/33 Gordon St,Maribyrnong,1,305000.0,17/09/2016,S,Burnham,Footscray,Western Metropolitan,3011.0,7570,-37.7903,144.8899,6.4,u,1,1,1,59.0,1965,70.0
2706,31 Southampton St,Maribyrnong,2,860500.0,17/09/2016,S,Burnham,Footscray,Western Metropolitan,3011.0,7570,-37.7963,144.8862,6.4,h,3,3,2,322.0,1980,228.0
2710,405/250 Barkly St,Maribyrnong,1,370000.0,18/06/2016,SP,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7992,144.8961,6.4,u,2,2,1,0.0,2007,75.0
2711,167 Gordon St,Maribyrnong,2,711000.0,18/06/2016,SP,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7968,144.8887,6.4,h,2,2,1,253.0,1910,90.0
2713,224 Ballarat Rd,Maribyrnong,1,690500.0,19/11/2016,SP,Rendina,Footscray,Western Metropolitan,3011.0,7570,-37.7903,144.8879,6.4,h,2,2,1,212.0,1900,98.0
2714,7 Essex St,Maribyrnong,1,747000.0,19/11/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7964,144.8871,6.4,h,2,2,1,320.0,1900,94.0
2715,51 Lynch St,Maribyrnong,1,858000.0,22/05/2016,SP,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7966,144.9016,6.4,h,2,2,1,313.0,1915,93.0
2716,216a Ballarat Rd,Maribyrnong,2,699000.0,22/08/2016,VB,Raine,Footscray,Western Metropolitan,3011.0,7570,-37.7905,144.8882,6.4,t,4,4,2,0.0,2015,126.0
2717,35 Leander St,Maribyrnong,1,835000.0,22/08/2016,SP,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7962,144.8844,6.4,h,2,2,1,222.0,1920,109.0
2718,49 MacPherson St,Maribyrnong,1,661000.0,22/08/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7946,144.8903,6.4,h,2,2,1,132.0,1970,83.0
2719,69 MacPherson St,Maribyrnong,0,757500.0,22/08/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7959,144.8901,6.4,h,2,2,1,258.0,1900,108.0
2720,4/11 Nicholson St,Maribyrnong,1,282000.0,24/09/2016,PI,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7949,144.9007,6.4,u,1,1,1,1783.0,1975,42.0
2721,2/25 Stanlake St,Maribyrnong,1,699000.0,24/09/2016,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7922,144.8831,6.4,t,3,3,1,125.0,2000,113.0
2722,24 Dudley St,Maribyrnong,0,850000.0,25/02/2017,SP,Village,Footscray,Western Metropolitan,3011.0,7570,-37.795,144.88299999999995,6.4,h,3,3,1,190.0,1930,99.0
2723,12/14 Eldridge St,Maribyrnong,1,315000.0,25/02/2017,PI,C21,Footscray,Western Metropolitan,3011.0,7570,-37.7899,144.893,6.4,u,2,2,1,882.0,1970,74.0
2724,65 Hyde St,Maribyrnong,1,740000.0,25/02/2017,SP,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.8059,144.901,6.4,h,3,3,1,211.0,1910,94.0
2726,62 Moore St,Maribyrnong,2,980000.0,26/07/2016,S,GL,Footscray,Western Metropolitan,3011.0,7570,-37.7987,144.9034,6.4,h,3,3,2,196.0,2006,154.0
2728,10/24 Eldridge St,Maribyrnong,1,316000.0,27/06/2016,S,Burnham,Footscray,Western Metropolitan,3011.0,7570,-37.789,144.8932,6.4,u,2,2,1,0.0,1960,55.0
2730,20 Ryan St,Maribyrnong,0,760000.0,27/06/2016,PI,Burnham,Footscray,Western Metropolitan,3011.0,7570,-37.7988,144.9045,6.4,h,2,2,1,130.0,1920,70.0
2731,39 Warleigh Rd,Maribyrnong,2,735000.0,27/06/2016,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.8001,144.8797,6.4,t,3,3,2,112.0,2010,168.0
2733,4 Adelaide St,Maribyrnong,1,1225000.0,27/11/2016,SP,Nelson,Footscray,Western Metropolitan,3011.0,7570,-37.7943,144.8875,6.4,h,4,4,2,319.0,1915,130.0
2736,8 Dudley St,Maribyrnong,0,767500.0,28/05/2016,S,Sweeney,Footscray,Western Metropolitan,3011.0,7570,-37.7942,144.8832,6.4,h,3,3,2,458.0,1930,98.0
2737,116/55 Hopkins St,Maribyrnong,1,395000.0,28/05/2016,SP,Greg,Footscray,Western Metropolitan,3011.0,7570,-37.8006,144.9053,6.4,u,2,2,2,0.0,2009,79.0
2738,12 Tait St,Maribyrnong,1,815000.0,28/05/2016,PI,Biggin,Footscray,Western Metropolitan,3011.0,7570,-37.7914,144.8957,6.4,h,4,4,2,369.0,1910,151.0
2739,20 McDougall Dr,Maribyrnong,2,757000.0,28/08/2016,S,Jas,Footscray,Western Metropolitan,3011.0,7570,-37.7987,144.8807,6.4,t,3,3,2,102.0,2011,102.0
2740,20 Nicholson St,Maribyrnong,1,1450000.0,28/08/2016,SP,Village,Footscray,Western Metropolitan,3011.0,7570,-37.7958,144.9001,6.4,h,4,4,1,799.0,1910,160.0
2741,119 Droop St,Maribyrnong,1,745000.0,30/07/2016,S,Village,Footscray,Western Metropolitan,3011.0,7570,-37.7931,144.8938,6.4,h,2,2,1,355.0,1890,74.0
2742,1a Leander St,Maribyrnong,2,716000.0,30/07/2016,S,Ray,Footscray,Western Metropolitan,3011.0,7570,-37.7939,144.8846,6.4,h,2,2,1,274.0,2000,275.0
2743,6 Beatrice St,Boroondara,3,1735000.0,3/09/2016,S,hockingstuart,Glen Iris,Southern Metropolitan,3146.0,10412,-37.854,145.0832,9.2,h,3,3,2,680.0,1935,170.0
2745,11 Vincent St,Stonnington,2,3400000.0,3/09/2016,VB,Kay,Coburg,Northern Metropolitan,3058.0,11204,-37.743,144.95600000000005,7.8,h,3,3,2,342.0,1920,265.0
2745,11 Vincent St,Stonnington,2,3400000.0,3/09/2016,VB,Kay,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8628,145.0436,9.2,h,4,4,3,856.0,1920,265.0
2746,2 Vincent St,Stonnington,2,3730000.0,3/09/2016,PI,Abercromby's,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8637,145.0438,9.2,h,5,4,3,919.0,1925,353.0
2747,28 Alfred Rd,Boroondara,2,1800000.0,3/12/2016,VB,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8522,145.0893,9.2,h,4,4,2,868.0,1930,217.0
2748,62 Staughton Rd,Boroondara,1,1998000.0,3/12/2016,S,J,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8513,145.0601,9.2,h,4,4,2,739.0,2002,183.0
2749,4/58 Bath Rd,Boroondara,1,671000.0,4/03/2017,S,Noel,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8555,145.0889,9.2,u,2,2,1,0.0,1960,85.0
2752,2/11 Peace St,Boroondara,2,1425000.0,4/03/2017,S,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8639,145.0641,9.2,h,3,3,2,217.0,2006,163.0
2753,48 Alfred Rd,Boroondara,1,1530000.0,4/06/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8543,145.0889,9.2,h,3,3,1,753.0,1940,118.0
2754,3 Bridges St,Boroondara,2,1900000.0,4/06/2016,PI,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8646,145.0673,9.2,h,4,4,4,708.0,1985,323.0
2756,6 Chester St,Boroondara,1,1360000.0,4/06/2016,PI,Fletchers,Glen Iris,Southern Metropolitan,3146.0,10412,-37.852,145.0942,9.2,h,3,3,2,704.0,1940,134.0
2757,56 Gardiner Pde,Boroondara,4,2175000.0,4/06/2016,S,Fletchers,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8554,145.0611,9.2,h,5,5,3,619.0,2003,327.0
2758,22 Renwick St,Boroondara,2,2325000.0,4/06/2016,PI,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8523,145.0726,9.2,h,4,4,3,638.0,1930,314.0
2759,10 Hazeldine Rd,Boroondara,3,2538000.0,6/08/2016,S,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.856,145.0691,9.2,h,4,4,2,630.0,2000,314.0
2760,1 Montana St,Boroondara,4,2300000.0,6/08/2016,VB,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8552,145.082,9.2,h,4,4,3,1258.0,1941,254.0
2761,1/23 Aintree Rd,Stonnington,1,550000.0,7/05/2016,SP,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8567,145.0435,9.2,u,2,2,1,0.0,1968,63.0
2762,6 Chester St,Boroondara,1,1600000.0,7/05/2016,VB,Fletchers,Glen Iris,Southern Metropolitan,3146.0,10412,-37.852,145.0942,9.2,h,3,3,2,704.0,1940,134.0
2764,48 Martin Rd,Boroondara,2,2115000.0,7/05/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8501,145.059,9.2,h,3,4,2,745.0,1920,157.0
2765,73 Pascoe St,Boroondara,2,1700000.0,7/05/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8602,145.0925,9.2,h,3,3,2,625.0,1951,188.0
2769,192 Tooronga Rd,Boroondara,3,2077000.0,7/11/2016,S,RT,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8589,145.0413,9.2,h,4,4,2,553.0,1910,143.0
2770,34 Yeovil Rd,Boroondara,2,2850000.0,7/11/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8526,145.0848,9.2,h,4,4,3,1184.0,1935,305.0
2771,7/69 Edgar St N,Stonnington,1,411000.0,8/10/2016,SP,Noel,Glen Iris,Southern Metropolitan,3146.0,10412,-37.85,145.0461,9.2,u,2,2,1,0.0,1970,65.0
2777,51 Dent St,Boroondara,2,2020000.0,10/09/2016,PI,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8667,145.0752,9.2,h,4,4,2,630.0,2009,351.0
2780,5 Charles St,Boroondara,2,2010000.0,10/12/2016,S,Marshall,Abbotsford,Northern Metropolitan,3067.0,4019,-37.8093,144.9944,2.5,h,3,3,2,134.0,1930,212.0
2780,5 Charles St,Boroondara,2,2010000.0,10/12/2016,S,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8509,145.0916,9.2,h,4,4,2,659.0,1930,212.0
2780,5 Charles St,Boroondara,2,2010000.0,10/12/2016,S,Marshall,Sunshine North,Western Metropolitan,3020.0,4217,-37.7749,144.8329,13.3,h,4,4,2,570.0,1930,212.0
2781,26 Gardiner Pde,Boroondara,4,2975000.0,10/12/2016,S,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8541,145.0643,9.2,h,4,4,3,0.0,1930,30.0
2784,1/39 Scott Gr,Stonnington,1,452000.0,10/12/2016,S,RT,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8552,145.05,9.2,u,1,1,1,63.0,1980,52.0
2787,56 Brandon St,Boroondara,3,1820000.0,12/11/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8571,145.0766,9.2,h,3,3,1,650.0,1930,136.0
2788,1/6 Edgar St,Stonnington,1,291000.0,12/11/2016,PI,hockingstuart,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8576,145.0452,9.2,u,1,1,1,1097.0,1982,38.0
2790,20 Howitt St,Boroondara,2,2376000.0,12/11/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8479,145.0557,9.2,h,4,4,2,652.0,1925,230.0
2792,22 Wills St,Stonnington,2,1456000.0,12/11/2016,SP,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8541,145.0544,9.2,h,3,3,1,504.0,1920,142.0
2796,11/63 Edgar St N,Stonnington,1,345000.0,14/05/2016,PI,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8505,145.0459,9.2,t,1,1,1,745.0,1970,44.0
2797,16 Flowerdale Rd,Boroondara,1,2000000.0,14/05/2016,PI,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8563,145.0709,9.2,h,5,5,3,696.0,1920,248.0
2801,10 Bardolph St,Boroondara,1,585000.0,15/10/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8517,145.0796,9.2,t,2,2,1,84.0,1960,84.0
2803,67 Celia St,Boroondara,1,1700000.0,15/10/2016,PI,Fletchers,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8581,145.078,9.2,h,4,4,3,650.0,1946,266.0
2806,2/67 Staughton Rd,Boroondara,2,1375000.0,15/10/2016,S,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8529,145.0605,9.2,h,3,3,2,328.0,1990,176.0
2807,56 Wills St,Stonnington,2,920000.0,15/10/2016,S,Fletchers,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8577,145.0576,9.2,h,2,2,1,334.0,1930,115.0
2808,1/38 Edgar St,Stonnington,1,382000.0,16/07/2016,SP,hockingstuart,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8547,145.0457,9.2,u,2,2,1,1069.0,1960,33.0
2811,1597 Malvern Rd,Stonnington,1,1280000.0,16/07/2016,S,Noel,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8541,145.05100000000004,9.2,h,2,2,1,412.0,1950,123.0
2813,116 High St,Boroondara,4,2825000.0,17/09/2016,PI,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8627,145.0719,9.2,h,5,5,4,802.0,2013,206.0
2814,1 Maitland St,Stonnington,4,2825000.0,17/09/2016,S,Jellis,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8577,145.0421,9.2,h,3,4,2,885.0,1910,217.0
2815,27 Sunhill Rd,Boroondara,2,1825000.0,17/09/2016,S,RT,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8503,145.0586,9.2,h,4,3,3,366.0,1999,26.0
2818,33 Rosedale Rd,Boroondara,3,3085000.0,18/03/2017,S,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8582,145.0715,9.2,h,5,5,3,778.0,2000,326.0
2824,17 Rosedale Rd,Boroondara,2,1600000.0,18/06/2016,PI,Noel,Glen Iris,Southern Metropolitan,3146.0,10412,-37.858,145.0696,9.2,h,2,2,2,718.0,1950,184.0
2826,3 Florence St,Boroondara,2,2352500.0,19/11/2016,PI,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.859,145.0656,9.2,h,5,5,3,642.0,1930,336.0
2827,23 Flowerdale Rd,Boroondara,2,3860000.0,19/11/2016,S,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8563,145.072,9.2,h,5,5,4,830.0,2009,520.0
2828,31 Gardiner Pde,Boroondara,2,2625000.0,19/11/2016,PI,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8538,145.0641,9.2,h,4,4,3,840.0,1930,326.0
2836,98 Bath Rd,Boroondara,2,1950000.0,25/02/2017,SP,Marshall,Glen Iris,Southern Metropolitan,3146.0,10412,-37.8561,145.0934,9.2,h,4,4,2,775.0,1960,155.0
